Step        Temp           TotEng       E_pair      PotEng      KinEng
   93000    271.79291   -29.308747   -29.484407   -29.484407   0.17565995 
   94000     266.8244   -29.297211    -29.46966    -29.46966   0.17244881 
   95000    283.89888   -29.290615   -29.474099   -29.474099   0.18348405 
   96000    295.43442   -29.103305   -29.294245   -29.294245   0.19093948 
   97000    310.79055    -29.11157   -29.312434   -29.312434   0.20086416 
   98000    290.24516   -29.128399   -29.315985   -29.315985   0.18758566 
   99000    289.07927   -29.127184   -29.314016   -29.314016   0.18683214 
  100000    332.97385   -29.072829    -29.28803    -29.28803   0.21520124 
  101000    306.19172   -29.213125   -29.411017   -29.411017   0.19789193 
  102000     292.0271   -29.090301   -29.279038   -29.279038   0.18873733 
  103000    336.81646    -29.06491   -29.282594   -29.282594   0.21768472 
  104000    303.83577   -29.102825   -29.299195   -29.299195   0.19636928 
  105000    322.14739   -29.197835   -29.406039   -29.406039   0.20820409 
  106000    330.72841   -29.076751   -29.290501   -29.290501   0.21375001 
  107000    315.45613   -29.045576   -29.249456   -29.249456   0.20387952 
  108000    323.81293   -29.132459   -29.341739   -29.341739   0.20928053 
  109000    288.57075    -28.97938   -29.165883   -29.165883   0.18650348 
  110000     278.4922   -29.078887   -29.258877   -29.258877   0.17998971 
  111000    348.87393   -29.142171   -29.367648   -29.367648   0.22547748 
  112000    300.77375   -29.067774   -29.262164   -29.262164   0.19439029 
  113000    360.82264   -29.150636   -29.383836   -29.383836   0.23319994 
  114000    334.24608   -28.900515   -29.116539   -29.116539   0.21602348 
  115000    344.79611   -29.086705   -29.309547   -29.309547   0.22284197 
  116000    341.05396   -29.211362   -29.431785   -29.431785   0.22042342 
  117000    361.75784   -29.246382   -29.480186   -29.480186   0.23380436 
  118000     367.0822    -29.21015   -29.447396   -29.447396   0.23724549 
  119000    363.83378   -29.053124    -29.28827    -29.28827   0.23514603 
  120000    354.26386   -29.115657   -29.344618   -29.344618   0.22896099 
  121000    363.20965   -29.108721   -29.343463   -29.343463   0.23474266 
  122000    361.13653   -29.092016   -29.325419   -29.325419    0.2334028 
  123000    373.52053   -29.121268   -29.362674   -29.362674   0.24140659 
  124000    359.63149   -29.173182   -29.405612   -29.405612   0.23243009 
  125000    369.52673   -28.903506   -29.142332   -29.142332   0.23882539 
  126000    380.96519   -29.178522   -29.424741   -29.424741   0.24621808 
  127000    371.58682    -29.11281   -29.352966   -29.352966   0.24015683 
  128000    358.80848   -28.958187   -29.190085   -29.190085   0.23189818 
  129000     371.0462   -28.970488   -29.210295   -29.210295   0.23980743 
  130000    383.70412   -28.915242   -29.163231   -29.163231   0.24798825 
  131000    391.73494   -29.060542   -29.313721   -29.313721   0.25317857 
  132000    379.62238   -28.982882   -29.228233   -29.228233   0.24535022 
  133000    384.73658   -29.058879   -29.307534   -29.307534   0.24865553 
  134000    382.47944   -29.108978   -29.356175   -29.356175   0.24719674 
  135000    398.08851   -29.116983   -29.374268   -29.374268    0.2572849 
  136000    403.26057    -29.24064   -29.501268   -29.501268    0.2606276 
  137000    405.89906   -29.044067     -29.3064     -29.3064   0.26233286 
  138000    422.47407   -28.975918   -29.248964   -29.248964    0.2730453 
  139000    423.45269   -29.091684   -29.365362   -29.365362   0.27367778 
  140000    410.93403   -28.587732   -28.853319   -28.853319   0.26558696 
  141000    394.21622   -29.012826   -29.267608   -29.267608   0.25478223 
  142000    438.89015   -29.100852   -29.384507   -29.384507   0.28365502 
  143000     436.5087   -28.721585   -29.003701   -29.003701   0.28211589 
  144000     437.5286   -29.123833   -29.406608   -29.406608   0.28277505 
  145000    445.58961   -29.038276   -29.326261   -29.326261   0.28798489 
  146000    464.43228   -28.797357    -29.09752    -29.09752   0.30016292 
  147000    470.24148   -28.903874   -29.207792   -29.207792   0.30391741 
  148000    412.36661   -29.044574   -29.311087   -29.311087   0.26651284 
  149000    448.08251   -29.006289   -29.295885   -29.295885   0.28959605 
  150000    447.87193   -28.741303   -29.030763   -29.030763   0.28945995 
  151000      440.345   -28.962191   -29.246787   -29.246787   0.28459529 
  152000    409.86211   -29.007095   -29.271989   -29.271989   0.26489418 
  153000    473.03988   -29.019902   -29.325628   -29.325628   0.30572602 
  154000    437.72169   -28.804338   -29.087238   -29.087238   0.28289984 
  155000    501.13941   -28.917208   -29.241095   -29.241095   0.32388676 
  156000     465.2066   -28.951191   -29.251854   -29.251854   0.30066336 
  157000    456.90581   -28.784696   -29.079995   -29.079995   0.29529855 
  158000    461.08184   -28.938234   -29.236231   -29.236231   0.29799753 
  159000    472.60964   -29.066662    -29.37211    -29.37211   0.30544795 
  160000    403.72825   -28.933197   -29.194127   -29.194127   0.26092986 
  161000      471.515   -29.016813   -29.321554   -29.321554   0.30474049 
  162000    462.30221   -29.023252   -29.322038   -29.322038   0.29878625 
  163000    446.29299   -28.932473   -29.220912   -29.220912   0.28843949 
  164000    491.80464   -29.060166    -29.37802    -29.37802   0.31785369 
  165000    447.29973    -28.70811     -28.9972     -28.9972   0.28909014 
  166000     477.1564   -28.816178   -29.124565   -29.124565   0.30838653 
  167000    424.38455   -28.718153   -28.992433   -28.992433   0.27428004 
  168000    507.10697   -29.139882   -29.467626   -29.467626    0.3277436 
  169000    494.20329   -28.519909   -28.839313   -28.839313   0.31940394 
  170000    515.23296   -28.872663   -29.205658   -29.205658   0.33299544 
  171000    509.19875   -28.990581   -29.319676   -29.319676   0.32909552 
  172000    494.64381   -28.946341    -29.26603    -29.26603   0.31968865 
  173000    610.89736   -28.702461   -29.097285   -29.097285   0.39482341 
  174000    542.24183   -28.723489    -29.07394    -29.07394   0.35045129 
  175000    509.25511   -29.076409   -29.405541   -29.405541   0.32913195 
  176000    527.79479   -28.907468   -29.248582   -29.248582   0.34111416 
  177000    561.25583   -28.539672   -28.902412   -28.902412   0.36274005 
  178000     476.6008   -28.933193   -29.241221   -29.241221   0.30802744 
  179000    536.07498   -28.933273   -29.279738   -29.279738   0.34646565 
  180000    538.30566   -28.848932   -29.196839   -29.196839   0.34790734 
  181000    513.77011   -28.932767   -29.264817   -29.264817   0.33204999 
  182000     568.7613   -28.619172   -28.986763   -28.986763   0.36759084 
  183000    503.20635   -28.827895   -29.153118   -29.153118   0.32522263 
  184000    476.43062    -28.88464   -29.192557   -29.192557   0.30791745 
  185000    544.78257   -28.664722   -29.016815   -29.016815   0.35209337 
  186000    551.66948   -28.841025    -29.19757    -29.19757   0.35654438 
  187000    562.60859   -28.768008   -29.131623   -29.131623   0.36361434 
  188000    607.60443   -28.821799   -29.214494   -29.214494   0.39269519 
  189000    567.86558   -29.041984   -29.408996   -29.408996   0.36701194 
  190000    618.25113   -28.762383   -29.161959   -29.161959   0.39957616 
  191000    590.53784    -28.89586   -29.277526   -29.277526   0.38166503 
  192000    543.87571   -28.848963   -29.200471   -29.200471   0.35150726 
  193000    545.07496   -28.863273   -29.215556   -29.215556   0.35228234 
  194000    602.44002   -28.822116   -29.211473   -29.211473   0.38935742 
  195000    574.71831   -28.910222   -29.281663   -29.281663   0.37144086 
  196000    610.10995   -29.010635   -29.404949   -29.404949   0.39431451 
  197000    574.88532   -28.899955   -29.271504   -29.271504    0.3715488 
  198000    588.05558   -28.712495   -29.092556   -29.092556   0.38006075 
  199000    572.99888    -28.70298    -29.07331    -29.07331   0.37032959 
  200000    625.05052   -28.917493   -29.321464   -29.321464   0.40397061 
  201000    681.41788    -28.13291   -28.573311   -28.573311   0.44040087 
  202000    537.94205   -28.581723   -28.929395   -28.929395   0.34767233 
  203000    611.57979    -28.94938   -29.344644   -29.344644   0.39526446 
  204000    605.77732   -28.701057   -29.092571   -29.092571   0.39151432 
  205000     657.3728   -28.685965   -29.110826   -29.110826   0.42486051 
  206000    611.29183   -28.650672   -29.045751   -29.045751   0.39507835 
  207000    576.97129   -28.916833    -29.28973    -29.28973   0.37289696 
  208000     587.1959   -28.958743   -29.338248   -29.338248   0.37950513 
  209000    541.82198   -28.638985   -28.989165   -28.989165   0.35017994 
